City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years),,,,
PUDUCHERRY,PUDUCHERRY,"Old Administrative building, Dumas Street",Office building,Office building,late 18th century,,,,
PUDUCHERRY,PUDUCHERRY,"Old Band stand near Nehru Statue, Gandhi thidal",Monument,Monument,Pre 16th century,,,,
PUDUCHERRY,PUDUCHERRY,"Old Mother Theresa Institute, Campagnie Street",Health Institution,Office building,1909,,,,
PUDUCHERRY,PUDUCHERRY,"Tourism Office, Beach road",Office building,Office building,Mid 20th century,,,,
PUDUCHERRY,PUDUCHERRY,"Le Café, Beach road",Restaurant,Customs office,Late 18th century,,,,
PUDUCHERRY,PUDUCHERRY,"Government Maternity Hospital, Victor Sinonel street",Office building,Office building,Mid 20th century,,,,
PUDUCHERRY,PUDUCHERRY,"Aye Mandapam, Bharathi park",Monument,Monument,Late 18th century,,,,
PUDUCHERRY,PUDUCHERRY,"Foyer du Soldat, rue law de lauriston",Museum,Office building,Late 18th to mid 19th century,,,,
PUDUCHERRY,PUDUCHERRY,"Pondicherry Museum building, St Louis street",Museum,Museum,Late 18th to mid 19th century,,,,
PUDUCHERRY,PUDUCHERRY,"Old Light house, Beach road",Monument,Light House,1836,,,,
PUDUCHERRY,PUDUCHERRY,"Old court building, Beach road",Building,building,1877,,,,
PUDUCHERRY,PUDUCHERRY,"Circle de Pondicherry, Victor Simonel street",Recreation club,Office building,Early 20th century,,,,
PUDUCHERRY,PUDUCHERRY,"Assembly building, Victor Simonel street",Legislative assembly building,Office building,1820-1830,,,,
PUDUCHERRY,PUDUCHERRY,Raj Nivas,Lt Governors Residence,Lt Governors Residence,Late 18th century            1766-1768,,,,
PUDUCHERRY,PUDUCHERRY,"Bharathidasan Museum, Perumal koil street",Museum,Museum,Mid 19th century,,,,
PUDUCHERRY,PUDUCHERRY,"Clock towers, Grand bazaar and Bussy street",Monument,Monument,Grand bazar -Early 18th century(1826)                          Bussy street- Early 19 th century,,,,
PUDUCHERRY,PUDUCHERRY,"Calve college, Mission street",Educational institution,Educational institution,Late 19th century,,,,
PUDUCHERRY,PUDUCHERRY,"Soucilabai school, Vysialstreet",Educational institution,Educational institution,Early 20th century,,,,
PUDUCHERRY,PUDUCHERRY,"PWD office, Bussy street",Office building,Office building,Late 18th century 1768,,,,
PUDUCHERRY,PUDUCHERRY,"Bharathiar Museum, Iswaran koil street",Museum,Museum,Early 19th century,,,,
PUDUCHERRY,PUDUCHERRY,"Subbaiah saraswathi Memorial, Vellalar street",Museum,Museum,Late 19th century,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
