SL.No.,District ,Museum Name ,Fee,Museum incharge head,Contact Numbers,Email.Id
1,Bengaluru,Government Museum Bengaluru,20.00,Curator,080-22864483,asstdirectorgovtmusuem@gmail.com
2,Bengaluru,"Venkatappa Art Gallery, Bengaluru",10.00,Curator,,
3,Dakshina kannada,"Shrimanthi Bai Government Museum, Mangalore",20.00,Curator,0824-2211106,crtrmangalore@yahoo.com
4,Shivmoga,"Shivappa nayaka Palace Government Museum , Shivmoga",10.00,Curator,08182-221992,shivamoggamuseum1@gmail.com
5,Kalburgi,"Government Museum, Kalburgi",10.00,Curator,08472-295813,ddgulbargamuseum@gmail.com
6,Raichur,"Government Museum, Raichur",10.00,Curator,08532-231428,curatorgmraichur@gmail.com
7,Bidar,"Government Museum, Basavakalyana",10.00,Curator,088481-250838,bkmusueum.2021@gmail.com
8,Gadag,"Government Museum, Gadag",10.00,Curator,08372-250325,gadagmusuem@gmail.com
9,Ballary,"Government Museum, Huvina Hadagali",10.00,Curator,08399-240080,prahalladg@rediffmail.com
10,Kodagu,"Government Museum, Madikeri",10.00,Curator,08272-225674,curatormadikeri@gmail.com
11,Hassan,"Government Museum, Hassan",10.00,Curator,08172-263067,hassanmuseum.2018@gmail.com
12,Mysore,"Willington Government Museum, Mysore",10.00,Curator,0821-2442379,govtmuseummysuruamh@gmail.com
13,Belagavi,"Government Museum, Kittur",10.00,Asst. Curator,08288-286423,govtmuseumkittur1amh@gmail.com
14,Belagavi,"Government Museum,  Athani",10.00,Asst. Curator,08288-286423,govtmuseumathani1amh@gmail.com
15,Mandya,"Government Museum, Srirangapatna",10.00,Asst. Curator,08236-262326,scmgovtmuseum@gmail.com
16,Chamaraja nagar,"Diwan Poornaiah Government Museum, Yelandur",10.00,Curator,-,govtmuseumyalandur.amh@gmail.com
17,Chitradurga,"Government Museum, Chitradurga",10.00,Curator,08194-224202,prahalladg@rediffmail.com
