Particulars, 12-1999, 12-2000, 12-2001, 12-2002, 12-2003, 12-2004, 12-2005, 12-2006, 12-2007, 12-2008, 12-2009, 12-2010, 12-2011
Total,NA,NA,NA,4099376,4134470,4961841,4969247,6081993,7350829,7002186,6625817,8235846,9434934
Angola,NA,561,582,653,NA,NA,1642,1852,3768,5262,9517,8831,12741
Armenia,NA,NA,NA,470,780,1380,1967,2340,2590,3970,4100,4180,4311
Australia,NA,NA,NA,45022,45597,55603,67930,83771,95214,116001,124888,138705,148191
Bahrian,195122,213509,247358,312975,350996,418767,466849,590198,718415,NA,NA,NA,NA
Bangladesh,62935,74268,78090,80415,84704,80469,86231,60516,78568,NA,NA,NA,NA
Barbados,NA,NA,NA,433,373,564,644,629,3090,963,959,1317,1230
Belgium,NA,NA,NA,22956,17453,19479,19572,21683,33504,53951,34711,40447,42709
Botswana,1132,1754,1927,3421,1476,1691,NA,2505,1710,NA,NA,95,NA
Brunei,NA,NA,NA,3785,5286,6597,6938,8690,3402,3540,2879,4904,4616
Bulgaria,NA,NA,NA,2099,2361,2361,2766,3187,3701,4605,4106,3696,3849
Canada,NA,NA,NA,55492,57010,68315,77849,87210,101724,110890,107959,127619,139213
Chile,NA,NA,NA,1296,1647,3148,3474,3499,3505,3376,2673,2612,2906
China,NA,NA,NA,213611,219097,309411,356460,405091,462450,436625,448942,549321,606474
Combodia,NA,NA,NA,3785,5286,6597,6938,8690,11454,12467,12461,13542,15240
Cuba,NA,NA,NA,2995,4174,2717,3783,3437,1898,2730,2551,3614,3574
Egypt,NA,NA,NA,31834,34941,45313,54141,61301,82481,88811,86698,114248,73443
Ertrea,NA,NA,NA,2549,2580,2420,2985,2895,2973,395,718,730,577
Ethopia,NA,NA,3244,3778,4276,4641,7125,7975,8895,10560,NA,14607,19667
Finland,2819,NA,NA,NA,NA,4100,5000,8000,18000,32000,23000,25000,NA
Georgia,NA,NA,NA,1861,2200,2853,1335,3088,2355,2712,3674,5863,4578
Guinea,NA,284,NA,NA,463,677,900,20769,320,NA,NA,NA,NA
Hong Kong,NA,NA,NA,193705,178130,244364,273487,294079,317510,350674,366646,530910,498063
Indonesia,NA,NA,NA,39314,32823,41582,58359,94258,123465,155391,156545,159373,181791
Iran,14817,NA,NA,NA,NA,NA,NA,NA,NA,NA,22277,23903,34770
Iraq,4893,3092,3714,NA,NA,NA,NA,NA,NA,6031,13876,13680,NA
Israel,NA,NA,NA,9330,8431,12743,19018,20233,24091,29413,23058,40109,38481
Italy,NA,NA,NA,65839,48807,77134,59056,116951,108941,135517,139094,182552,188408
Jamaica,NA,NA,NA,530,627,542,457,586,1525,904,1232,1127,1330
Japan,NA,NA,NA,45394,47520,53000,58572,62505,67583,67323,58918,66819,59354
Kazakistan,NA,2147,3633,4217,4809,5868,6160,7197,9280,9022,NA,11949,NA
