State Name,Website Url
Andaman & Nicobar 	,http://www.andaman.gov.in
Andhra Pradesh	https://tourism.ap.gov.in/
Arunachal Pradesh	,http://www.arunachaltourism.com/#0
Assam	https://tourism.assam.gov.in/
Bihar	,http://www.bihartourism.gov.in
Chandigarh	,http://chandigarhtourism.gov.in/
Chhattisgarh	,http://chhattisgarhtourism.cg.gov.in
Dadra - Nagar haveli	https://www.tourismdddnh.in/
Daman and Diu	https://www.tourismdddnh.in/
Goa	https://goa-tourism.com/
Gujarat	https://www.gujarattourism.com/
haryana	,http://haryanatourism.gov.in/
himachal Pradesh	https://himachaltourism.gov.in/
Jammu and Kashmir	,http://jammutourism.gov.in/
Ladakh	https://ladakh.nic.in/tourism/
Jharkhand	https://tourism.jharkhand.gov.in//
Karnataka	https://www.karnatakatourism.org/
Kerala	,http://www.keralatourism.org
Lakshadweep	https://www.lakshadweeptourism.com/
Madhya Pradesh	,http://www.mptourism.com
Maharashtra	,http://www.maharashtratourism.gov.in/
Manipur	,http://www.manipurtourism.gov.in/
Meghalaya	https://www.meghalayatourism.in/
Mizoram	https://tourism.mizoram.gov.in
Nagaland	,http://tourismnagaland.com/
Delhi	,http://www.delhitourism.gov.in/delhitourism/index.jsp
Odisha	,http://www.odishatourism.gov.in
Puducherry	,http://www.pondytourism.in/
Punjab	https://punjabtourism.punjab.gov.in/
Rajasthan	,http://www.tourism.rajasthan.gov.in/
Sikkim	,http://www.sikkimtourism.gov.in/
Tamil Nadu	,http://www.tamilnadutourism.org
Telangana	https://www.telanganatourism.gov.in/
Tripura	,http://tripuratourism.gov.in
Uttar Pradesh	,http://www.uptourism.gov.in
Uttarakhand	,http://uttarakhandtourism.gov.in/
West Bengal	https://www.wbtourism.gov.in/
