Sl. No.,States/UT,2018 - DTVs,2018 - FTVs,2019 - DTVs,2019 - FTVs,2020 - DTVs,2020 - FTVs
1,Andman and Nicobar Island,498279,15242,505398,16206,191207,5412
2,Andhra Pradesh,194767874,281083,237051508,280356,70828590,67591
3,Arunachal Pradesh,512436,7653,555639,7825,42871,961
4,Assam,4710617,15592,5447805,26878,1266898,7285
5,Bihar,33621613,1087971,33990038,1093141,5638024,308080
6,Chandigarh,1538796,39681,1563795,44132,417953,12218
7,Chhattisgarh,19329501,14399,17304506,6817,2810227,2322
8,Dadra and Nagar Haveli,609435,1608,618330,1666,104959,222
9,Daman and Diu,898824,5694,897804,5703,297436,1382
10,Delhi,29114423,2740502,36467598,2983436,9583671,681230
11,Goa,7081559,933841,7127287,937113,3258715,302751
12,Gujarat,54369873,513113,58864661,595607,19464517,210047
13,Haryana,4888952,73977,4549017,48046,2114731,17474
14,Himachal Pradesh,16093935,356568,16829231,382876,3170714,42665
15,Jharkhand,35408822,175801,35580768,176043,2574704,490
16,Jammu and Kashmir,17076315,139520,16163330,57920,2519524,5317
17,Karnataka,214306456,543716,227934714,608754,77453339,165325
18,Kerala,15604661,1096407,18384233,1189771,4988972,340755
19,Lakshdweep,10435,1313,6985,820,3462,413
20,Ladakh,NA,NA,241285,38652,6743,1126
21,Madhya Pradesh,83969799,375476,88707139,327958,23519632,99819
22,Maharashtra,119191539,5078514,149294703,5528704,39234591,1262409
23,Manipur,176109,6391,167560,13608,49669,3139
24,Meghalaya,1198340,18114,1245633,25813,24734,2311
25,Mizoram,76551,967,163762,2249,30890,265
26,Nagaland,101588,5010,125949,5577,10979,518
27,Odisha,15208540,110818,15307637,115128,4622273,10206
28,Puducherry,1616660,141133,1713248,149919,1114942,92080
29,Punjab,44595061,1200969,47385387,1101343,16692197,359114
30,Rajasthan,50235643,1754348,52220431,1605560,15117239,446457
31,Sikkim,1426127,71172,1421823,133388,316408,19935
32,Tamil Nadu,385909376,6074345,494865257,6866327,140651241,1228323
33,Telangana,92878329,318154,83035894,323326,39997001,46694
34,Tripura,414388,102861,437201,154405,127815,31877
35,Uttar Pradesh,285079848,3780752,535855162,4745181,86122293,890932
36,Uttarakhand,35609650,151320,37585920,152273,7005264,41339
37,West Bengal,85657365,1617105,92366025,1656145,28841732,463285
Grand Total,Grand Total,1853787719,28851130,2321982663,31408666,610216157,7171769
