S. No.,State,Destination
1,Andaman and Nicobar Islands,"Cellular Jail , Port Blair"
1,Andaman and Nicobar Islands,"Limestone Caves, Baratang"
1,Andaman and Nicobar Islands,Mahatama Gandhi Marine National Park Wandoor
1,Andaman and Nicobar Islands,Mount Harriat National Park
1,Andaman and Nicobar Islands,"Mini Zoo, Port Blair"
1,Andaman and Nicobar Islands,"Biological Park, Chidiyatapu"
2,Andhra Pradesh,"Tirupati, Chittoor"
2,Andhra Pradesh,"Srikalahasti, Chittoor"
2,Andhra Pradesh,"Kanakadurga Temple, Vijayawada"
2,Andhra Pradesh,"Kanipakam, Chittoor"
2,Andhra Pradesh,"Simhachalam, Visakhapatnam"
2,Andhra Pradesh,"Golconda Fort, Hyd"
2,Andhra Pradesh,"Charminar, Hyd"
2,Andhra Pradesh,"Kailasagiri, Visakhapatnam"
2,Andhra Pradesh,"1000 Pillars Temple, Warangal"
2,Andhra Pradesh,"Ramappa Temple, Warangal"
2,Andhra Pradesh,"Borra Caves, Visakhapatnam"
2,Andhra Pradesh,"Submarine Museum, Visakhapatnam"
2,Andhra Pradesh,"Horsley Hills, Chittoor"
2,Andhra Pradesh,"Araku Valley, Visakhapatnam"
3,Arunachal Pradesh,Bomdila
3,Arunachal Pradesh,Tezu
3,Arunachal Pradesh,Pasighat
3,Arunachal Pradesh,Tawang
3,Arunachal Pradesh,Ziro
3,Arunachal Pradesh,Aalo
3,Arunachal Pradesh,Mohanbari
3,Arunachal Pradesh,Dirang
3,Arunachal Pradesh,Seppa
3,Arunachal Pradesh,Roing
3,Arunachal Pradesh,Bhalukpong
3,Arunachal Pradesh,Miao
3,Arunachal Pradesh,Guwahati
3,Arunachal Pradesh,Yinkiong
3,Arunachal Pradesh,Shillong
3,Arunachal Pradesh,Koloriang
4,Assam,Kamakhya
4,Assam,Kaziranga
4,Assam,Guwahati
4,Assam,Tezpur
4,Assam,Jorhat
4,Assam,Nagaon
4,Assam,Sibsagar
4,Assam,Silchar
4,Assam,Barpeta Road
4,Assam,Bhalukpung
5,Bihar,Patna
5,Bihar,Gaya
5,Bihar,Madhepura
5,Bihar,Rajgir
5,Bihar,Bhagal pur
5,Bihar,Bodhgaya
5,Bihar,Nalanda
5,Bihar,Sonepur Fair
5,Bihar,Muzaffar Pur
5,Bihar,Vaishali
5,Bihar,Munger
5,Bihar,Shrawani Mela Sultanganj (Bhagalpur)
5,Bihar,Raxaul
6,Chandigarh,Chandigarh
7,Dadra and Nagar Haveli,Dadra and Nagar Haveli
8,Daman and Diu,Daman
9,Daman and Diu,Diu
10,Delhi,Delhi
11,Goa,Salcete
11,Goa,Tisswadi
11,Goa,Bardez
11,Goa,Marumgoa
11,Goa,Pernem
11,Goa,Canacona
11,Goa,Sanguem
11,Goa,Ponda
11,Goa,Bichalim
12,Gujarat,Ahmedabad
12,Gujarat,Ambaji
12,Gujarat,Dwarka
12,Gujarat,Surat
12,Gujarat,Vadodara
12,Gujarat,Rajkot
12,Gujarat,Palitana
12,Gujarat,Girnar
12,Gujarat,Somnath
12,Gujarat,Gandhinagar
12,Gujarat,Becharaji
12,Gujarat,Junagadh
12,Gujarat,Chotila
12,Gujarat,Bhavnagar
12,Gujarat,Veraval
12,Gujarat,Porbandar
12,Gujarat,Vapi
12,Gujarat,Dakor
12,Gujarat,Bhuj
