Month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,1501,1229,1505,2055,3272,3970,4698,4599,4530,5593,5777,8623,10785,11664,12100,13671
Feb,1405,1294,1442,2050,3136,3793,4401,5496,4610,6646,7653,8502,10255,11510,11642,13661
March,1258,1177,1199,1812,2985,3378,4144,4312,4160,5507,5522,7843,9545,10479,11133,12985
April,1289,1102,1153,1368,2156,2850,3218,3740,3873,4518,5724,6745,7226,9179,10091,11495
May,957,947,1014,1134,1957,2350,2543,3153,3410,4358,5047,5562,6627,7936,9505,10260
June,1119,906,1263,1364,2144,2566,2849,3538,3926,4751,5440,6485,7149,8366,9564,10677
July,1242,1254,1489,1779,2556,2990,3436,4553,5042,5444,7116,8389,8620,10284,11982,14285
Aug,1090,1127,1354,1552,2273,2698,3080,4041,4306,4620,5734,7260,8351,10385,11411,12553
Sept,878,1108,1264,1476,2135,2640,2594,3602,3852,4678,5748,6652,7811,9057,10415,11642
Oct,958,1111,1421,1906,2921,3355,3785,4234,4543,5219,7019,8154,8645,10041,10549,12100
Nov,1172,1351,1585,2389,3560,3793,4533,5003,5361,6516,7941,9723,10663,11431,12649,14259
Dec,1474,1588,1741,2589,4028,4642,5079,5023,6096,7039,8870,10549,11994,12988,14152,16558
Total,14344,14195,16429,21472,33123,39025,44360,51294,53709,64889,77591,94487,107671,123320,135193,154146
